brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,AIS 2S,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIS 2S
DJI,AIRS2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIRS2
MULTI ROTOR SG907,SG907,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,SG907
MUGIN,UAV V-TAIL PLATFORM,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,UAV V-TAIL PLATFORM
MJX R/C,BUGS 4W,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BUGS 4W
MJX BUGS,MJX BUGS 16 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MJX BUGS 16 PRO
MJX,XIOI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,XIOI
MJX,X102H,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X102H
MJX,MJX BUGS 2W,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MJX BUGS 2W
MJX,E20 EIS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,E20 EIS
MJX,BUGS 6,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BUGS 6
DJI,AIR UNIT,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR UNIT
DJI,AIR S2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR S2
DJI,AIR MINI 2 SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR MINI 2 SE
DJI,AIR MAVIC,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR MAVIC
DJI,AIR 3 FLY RC 2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI AIR 3 FLY COMBO RC 2
DJI,AIR 3 DISPLAY UNIT-DJI RC2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI AIR 3 DISPLAY UNIT-DJI RC2
PAROT,ANAFI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ANAFI
P8PRO PLUS,GPS 4-AXIS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,GPS 4-AXIS
OVERMAX,X BEE FOLD 9.5,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X BEE FOLD 9.5
OPTICAN FLOW POSITION,DRONE XT9,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DRONE XT9
ODDITYRC,XI25,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,XI25
NO BRAND,SELF CRAFTED,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SELF CRAFTED
NAZUL,MARK7,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MARK7
NAZA,NAZA-M LITE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,NAZA-M LITE
NAFYRE,N11 PRO GPS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,N11 PRO GPS
NAFYRE,N 11 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,N 11 PRO
DJI,5HAZK8S001GK5M,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,5HAZK8S001GK5M
DJI,5HAZK6N001910Z,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,5HAZK6N001910Z
DJI,4PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,4PRO
DJI,4 PRO MINI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,4 PRO MINI
DJI,4 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,4 PRO
DJI,3W-DJI-8-10-015 / MG-1S,เกษตร,เกษตร-DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3W-DJI-8-10-015 / MG-1S
DJI,3QDCK6R006DJ65,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3QDCK6R006DJ65
DJI,3N3BHB901203BZ,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3N3BHB901203BZ
DJI,3N3BH6P00206Z6,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3N3BH6P00206Z6
POTENSIC,ATO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATO
PIONEER,KNIGHT 507,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,KNIGHT 507
PIONEER,(ไม่ระบุ),ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
PAVO 20 DJI 03,PAVO 20 DJI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PAVO 20 DJI
PARROT,DISCO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DISCO
PARROT,BLUEGRASS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BLUEGRASS
DJI,AIR2 MAVIC,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR2 MAVIC
POTENSIC ATOM SE,ATOM SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE
POTENSIC ATOM DRONE,DSDR04C,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DSDR04C
POTENSIC,POTENSIC ATOM SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,POTENSIC ATOM SE
POTENSIC,DSDRO4C,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DSDRO4C
POTENSIC,DSDR04B,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DSDR04B
POTENSIC,"DRONE: DSDR23A, REMOTE CONTROLLER: DSRC23A",ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,"DRONE: DSDR23A, REMOTE CONTROLLER: DSRC23A"
POTENSIC,ATOME SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOME SE
POTENSIC,ATOM SE GPS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE GPS
POTENSIC,ATOM SE DSDRO4B,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE DSDRO4B
POTENSIC,ATOM SE DSDR04B,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE DSDR04B
POTENSIC,ATOM SE DRONE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM SE DRONE
POTENSIC,ATOM GPS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM GPS
POTENSIC,ATOM 4 K,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM 4 K
DJI,ACATA 2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ACATA 2
DJI,8RXZMBM000KYYX,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,8RXZMBM000KYYX
DJI,6UZBLAR021091N,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,6UZBLAR021091N
RUNNER,RUNNER 250 ADVANCE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RUNNER 250 ADVANCE
RUKO,RUKO F11PRO 2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RUKO F11PRO 2
RUKO,F11MINI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11MINI
ROCCO,R416K,เกษตร,เกษตร-ไม่ใช่ DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,R416K
READYTOSKY,MINI RANGE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI RANGE
READYTOSKY,APEX 5 DC,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,APEX 5 DC
RCSA DRONE,V001,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,V001
RC136,(ไม่ระบุ),ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
RC LEADDING,RC 136,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RC 136
RADIUS DRONE SYSTEMS,QUAD SURVEY 1 / RDSQ001N,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,QUAD SURVEY 1 / RDSQ001N
RADIOMATER,POCKET,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,POCKET
QUANTUM,TRINITY F90+,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TRINITY F90+
QUADROTOR,QUADROTOR,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,QUADROTOR
QUADMULA,F5 SPLIT,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F5 SPLIT
POWERVISION,POWEREGG X,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,POWEREGG X
POTENSIC ATOM SE,DSDR04B,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DSDR04B
SATI,PANYA V1,เกษตร,เกษตร-ไม่ใช่ DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PANYA V1
DJI,330,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,330
DJI,3 PRO MINI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3 PRO MINI
DJI,2SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2SE
DJI,2S,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2S
DJI,2PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2PRO
DJI,202212029096,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,202212029096
DJI,2 SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2 SE
DJI,2 MINI SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2 MINI SE
DJI,1T2CK56R37VHSA,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,1T2CK56R37VHSA
DJI,1581F6Z9C248C003Z46P,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,1581F6Z9C248C003Z46P
DJI,1581F5YHC22CG00297F1,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,1581F5YHC22CG00297F1
DJI,04 AIR UNIT PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,04 AIR UNIT PRO
SANTI-WHOOP,SW3-I,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SW3-I
SAKER,SAKER 30S,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SAKER 30S
S185,EIS UAV,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EIS UAV
DIJI,MINI 3,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3
SIMTOO,THDF01,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,THDF01
SIMTOO,THDF-01,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,THDF-01
SIMTOO,THDF - 01,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,THDF - 01
SIMTOO,MOMENT,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MOMENT
SIMTOO,DRAGONFLY THDF-01,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DRAGONFLY THDF-01
SIMTOO,(ไม่ระบุ),ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
"SHENZHENSMARTDRONEUAVCO.,LTD(SMD)",V330ATILT-ROTORVTOIFIXED-WINGUAV,เกษตร,เกษตร-ไม่ใช่ DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,V330ATILT-ROTORVTOIFIXED-WINGUAV
SHAPED,TK111,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,TK111
SG907,MAX,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAX
SG,908MAX,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,908MAX
SENSEFLY,EBEE RTK,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EBEE RTK
SENSEFLY,EBEE AG,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EBEE AG
SELF-BUILT,CUSTOM FPV,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CUSTOM FPV
SB1,M603,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,M603
SB1,H810,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H810
SINOCHIP,DF-T4,เกษตร,เกษตร-ไม่ใช่ DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DF-T4
SINOCHIP,DF-Q1,เกษตร,เกษตร-ไม่ใช่ DJI,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DF-Q1
SIMULUS,ZX-5085-675,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZX-5085-675
SIMTOO MOMENT,THDF-01,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,THDF-01
DJA,MT1SD25,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT1SD25
DJ3,MINI 3 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI PRO 3
DJ1 3,RC231,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RC231
DJ MINI SE,DJ MINI SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJ MINI SE
DJ,MINI 4K,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 4K
DJ,MINI 3 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3 PRO
DJ,MINI 3,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3
DJ,MINI 2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 2
DJ,MAVIC AIR 2,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC AIR2
DJ,MAVIC AIR,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC AIR
DJ,DJ 4 K MINI,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJ 4 K MINI
DIJI,MINI 3 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3 PRO
DIJ,MINI 4 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 4 PRO
DIJ,MINI 3,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3
DIJ,MAVIC3PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC3PRO
DIATONE,ROMAF5,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ROMAF5
DIATONE,ROMA F7,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ROMA F7
DIATONE,ROMA F6,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ROMA F6
DIATONE,ROMA F5 6S TBS,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ROMA F5 6S TBS
DIATONE,ROMA,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ROMA
DIATONE,F5,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F5
DHI,MINI 2 SE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 2 SE
DGJ,MINI 4 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 4 PRO
DFD,F182,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F182
SJRC,F11PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11PRO
SJRC,F11 - DRONE,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11 - DRONE
SJR,Z5,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,Z5
SIRC,F11,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11
SKYFRONT,PERIMETER 8 UAS / BASE MODEL (TH2.4),ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PERIMETER 8 UAS / BASE MODEL (TH2.4)
SKYETON,RAYBIRD-3,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RAYBIRD-3
SKYDIO 2,SDRC2V1,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SDRC2V1
SKYDIO,X2-UU62,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X2-UU62
SKYDIO,X2-44HZ,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X2-44HZ
SKYDIO,X10D,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X10D
SKYDIO,SDRC2V1,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SDRC2V1
SKYDIO,SDR35V1,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,SDR35V1
SKY KING,EXPLORER,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EXPLORER
SKY HERO,LITTLE 6,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,LITTLE 6
SKEYE,X8 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 PRO
SJRS,F5S PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F5S PRO
SJRC,SJRC F11,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SJRC F11
SJRC,F22 PRO,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F22 PRO
SJRC,F11S4K,ทั่วไป,ทั่วไป,1,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11S4K
DIJ,WM331S,ทั่วไป,ทั่วไป,1,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,WM331S
