brand,model_final,class,group,units,reason,resolved_via,sample_raw
KASET GEN-Y,GCS-9 3 ลิตร,เกษตร,เกษตร-ไม่ใช่ DJI,110,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,GCS-9 3 ลิตร
FIMI,X8 MINI,ทั่วไป,ทั่วไป,106,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 MINI
BLUE STAR,B1,ทั่วไป,ทั่วไป,100,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,B1
SJRC,F11 4K PRO,ทั่วไป,ทั่วไป,99,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11 4K PRO
GOPRO,KARMA,ทั่วไป,ทั่วไป,94,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,KARMA
HOVERAIR,X1 PRO,ทั่วไป,ทั่วไป,93,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X1 PRO (MODEL ZZ-H-1-003)
PARROT,ANAFI,ทั่วไป,ทั่วไป,90,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ANAFI
AUTEL ROBOTICS,EVO II,ทั่วไป,ทั่วไป,90,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO II
DJI,SPARKFLYMORE ALPINE WHITE,ทั่วไป,ทั่วไป,89,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARKFLYMORE COMBO (EU) ALPINE WHITE
DJI,TELLO,ทั่วไป,ทั่วไป,89,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TELLO
SB1,M410,เกษตร,เกษตร-ไม่ใช่ DJI,88,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,M410
HUBSAN,H501S,ทั่วไป,ทั่วไป,85,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H501S
AGRI-MASTER,QHX-10L,เกษตร,เกษตร-ไม่ใช่ DJI,84,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,QHX-10L
POTENSIC,ATOM,ทั่วไป,ทั่วไป,83,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM
TELLO,TLW004,ทั่วไป,ทั่วไป,83,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,TLW004
DJI,SPARKFLYMORE SUNRISE YELLOW,ทั่วไป,ทั่วไป,82,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARKFLYMORE COMBO (EU) SUNRISE YELLOW
DJI,MAVIC 3 M,ทั่วไป,ทั่วไป,80,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 M
FIMI,X8 SE 2022,ทั่วไป,ทั่วไป,80,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 SE 2022
DJI,MAVIC PRO FLYMORE V2,ทั่วไป,ทั่วไป,79,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC PRO(EU) FLYMORE COMBOV2
MJX,B12 EIS,ทั่วไป,ทั่วไป,77,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,B12 EIS
DJI,L2E,ทั่วไป,ทั่วไป,75,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L2E
DJI,PHANTOM 4 MULTISPECTRAL,ทั่วไป,ทั่วไป,74,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ถอดจากรหัส,WM336A / P4 MULTISPECTRAL ;; WM336 ;; P4 MULTISPECTRAL (WM336A)
HUBSAN,ZINO 2,ทั่วไป,ทั่วไป,73,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZINO 2
