ปี,พิกัด8,ปริมาณ_export,ปริมาณ_import,มูลค่าบาท_export,มูลค่าบาท_import,ชนิด,คำอธิบายทางการ,ส่วนต่างมูลค่า,ส่วนต่างปริมาณ,ratio_ส่งออกต่อนำเข้า,ผ่าน_GATE,อุปสงค์ในประเทศ_บาท
2568,88069900,208.0,4178.0,24935837.0,503667376.0,ไม่ใช่รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,478731539.0,3970.0,0.04950854112893745,True,478731539.0
2568,88062900,77.0,26103.0,2049929.0,499540266.0,รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,497490337.0,26026.0,0.004103631157533155,True,497490337.0
2568,88062400,34.0,3827.0,17023215.0,454936243.0,รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,437913028.0,3793.0,0.03741890267467655,True,437913028.0
2568,88069400,1164.0,2462.0,304777370.0,395158325.0,ไม่ใช่รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,90380955.0,1298.0,0.7712791322313658,True,90380955.0
2568,88062100,1702.0,21704.0,15569858.0,163845710.0,รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,148275852.0,20002.0,0.0950275597694929,True,148275852.0
2568,88062300,2000.0,849.0,3342951.0,87146272.0,รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,83803321.0,-1151.0,0.03836022956897112,False,
2568,88069100,0.0,2127.0,0.0,13766949.0,ไม่ใช่รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,13766949.0,2127.0,0.0,True,13766949.0
2568,88061000,0.0,3.0,0.0,10207851.0,โดยสาร -,ที่ออกแบบสำหรับการขนส่งผู้โดยสาร,10207851.0,3.0,0.0,True,10207851.0
2568,88069200,994.0,768.0,2128924.0,7384262.0,ไม่ใช่รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,5255338.0,-226.0,0.28830558829033964,False,
2569,88062900,8.0,8039.0,3212463.0,172151742.0,รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,168939279.0,8031.0,0.018660647651186708,True,168939279.0
2569,88062400,0.0,1805.0,0.0,159080058.0,รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,159080058.0,1805.0,0.0,True,159080058.0
2569,88062200,1089.0,2514.0,31636076.0,108007492.0,รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,76371416.0,1425.0,0.29290631061037875,True,76371416.0
2569,88069900,175.0,434.0,21649080.0,62939980.0,ไม่ใช่รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,41290900.0,259.0,0.3439638843228104,True,41290900.0
2569,88069200,941.0,752.0,39899005.0,49408161.0,ไม่ใช่รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,9509156.0,-189.0,0.807538758627345,False,
2569,88069400,403.0,199.0,187951131.0,27480230.0,ไม่ใช่รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,-160470901.0,-204.0,6.839503563107004,False,
2569,88069300,13.0,4.0,1140868.0,26372909.0,ไม่ใช่รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,25232041.0,-9.0,0.043259088331893916,False,
2569,88062100,1.0,1821.0,1550.0,17029809.0,รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,17028259.0,1820.0,9.101687517458358e-05,True,17028259.0
2569,88062300,2989.0,22551.0,19510610.0,7163676.0,รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,-12346934.0,19562.0,2.7235472402716145,False,
2569,88069100,0.0,1.0,0.0,3515.0,ไม่ใช่รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,3515.0,1.0,0.0,True,3515.0
